,payFrequency,apr,nPaidOff,loanStatus,state,leadType,leadCost,fpStatus,hasCF,NumPaymentsPaid,NumPaymentsMissed,NumPaymentsCancelled,isPaidOff,nLoanTaken,earningDiff,applicationYear
23,2,510451.1013821627,0,4,3,7,-3.949745080857097,4,1,6.0,0.0,0.0,1,1,3228.430784184791,2016
24,4,9745994.598396378,0,2,22,0,2.8544212975884062,1,1,2.0,1.0,22.0,1,1,227.70102683902408,2015
25,0,9277250.715763165,0,3,28,4,5.239919521102256,4,1,0.0,0.0,0.0,0,1,-2.256896691192247,2017
26,0,2482690.655157639,0,5,12,6,-3.949745080857097,4,1,12.0,0.0,0.0,1,1,633.1023187357825,2015
27,2,9277250.715763165,0,5,35,6,-3.949745080857097,4,1,6.0,0.0,0.0,1,2,817.5473386910866,2015
28,0,2482690.655157639,0,4,12,4,4.363500465008609,4,1,3.0,0.0,0.0,1,1,633.964816033892,2017
29,0,9277250.715763165,0,5,28,0,1.215398775016625,4,1,3.0,0.0,0.0,1,1,271.7781423936463,2017
30,2,13550102.569088677,0,5,35,6,-3.949745080857097,4,1,2.0,0.0,5.0,1,1,469.47060849064246,2017
31,0,3379388.5013151052,0,2,39,4,5.239919521102256,4,1,3.0,2.0,8.0,1,2,325.5689271419741,2016
32,4,2482690.655157639,0,2,12,0,2.1153180105563267,4,1,2.0,2.0,22.0,1,1,137.92218123792856,2016
33,4,9745994.598396378,0,2,22,0,2.1153180105563267,4,1,0.0,2.0,22.0,0,1,-2.230511929662981,2015
34,0,9277250.715763165,0,5,34,0,1.215398775016625,4,1,12.0,0.0,0.0,1,2,1965.2067887642872,2015
35,4,9277250.715763165,1,2,34,0,2.1153180105563267,1,1,14.0,2.0,8.0,1,1,699.0179613333656,2016
36,2,9277250.715763165,0,2,28,0,1.215398775016625,4,0,0.0,2.0,4.0,0,1,-2.200737523428894,2015
37,0,2482690.655157639,0,5,12,4,4.363500465008609,4,1,13.0,0.0,0.0,1,1,3306.0290334265846,2016
38,0,13550102.569088677,0,3,35,4,4.363500465008609,4,1,0.0,2.0,11.0,0,1,-2.2080321679046997,2017
39,0,9277250.715763165,0,4,25,4,2.1153180105563267,4,1,7.0,0.0,0.0,1,1,1020.3281471345523,2016
40,0,2482690.655157639,0,5,12,7,-3.949745080857097,1,1,2.0,0.0,12.0,1,2,406.09931966016967,2016
41,3,11768081.773854656,0,4,9,6,-3.949745080857097,4,1,5.0,0.0,0.0,1,1,575.0317784045412,2016
42,0,2464331.2566070086,0,4,37,0,1.215398775016625,4,1,2.0,0.0,0.0,1,1,136.77787425803595,2017
43,0,3073835.364502685,0,2,39,6,-3.949745080857097,4,0,3.0,3.0,6.0,1,1,154.32323670273632,2015
44,2,5201997.259444528,0,5,28,6,-3.949745080857097,4,0,2.0,0.0,5.0,1,4,407.5085444579539,2015
45,2,1738517.0662475186,0,4,12,6,-3.949745080857097,4,0,4.0,0.0,0.0,1,3,428.0213538406719,2016
46,0,11768081.773854656,0,2,21,4,2.1153180105563267,4,1,0.0,2.0,11.0,0,1,-2.241307513753305,2016
47,2,4502857.4685344435,0,5,39,6,-3.949745080857097,4,1,6.0,0.0,0.0,1,3,623.7832386978557,2016
48,4,11768081.773854656,0,3,30,4,2.1153180105563267,4,1,2.0,2.0,22.0,1,1,485.48652416118,2016
49,4,4266796.303330164,1,2,20,6,-3.949745080857097,1,1,10.0,1.0,13.0,1,2,490.92845212709256,2016
50,3,11768081.773854656,0,3,30,4,2.1153180105563267,4,1,1.0,2.0,9.0,1,1,430.60690568738124,2016
51,4,9745994.598396378,0,5,22,0,2.1153180105563267,4,1,23.0,1.0,0.0,1,1,1823.7896797539095,2015
52,0,1738517.0662475186,0,3,12,6,-3.949745080857097,4,0,6.0,1.0,7.0,1,2,445.1484085262612,2016
53,4,9277250.715763165,0,2,32,0,1.215398775016625,4,0,1.0,1.0,22.0,0,1,114.13964810723328,2015
54,4,5651967.550456223,0,2,20,4,4.363500465008609,4,1,0.0,2.0,24.0,0,1,-2.2188320904603493,2016
55,4,9277250.715763165,0,2,18,4,5.239919521102256,4,1,0.0,2.0,24.0,0,1,-2.2564725883032075,2016
56,2,2464331.2566070086,0,4,37,4,4.363500465008609,4,1,1.0,0.0,0.0,1,1,203.9726420247608,2017
57,0,11768081.773854656,0,2,15,0,1.215398775016625,4,1,2.0,2.0,9.0,1,1,241.41546703449262,2016
58,0,4502857.4685344435,0,5,39,0,2.8544212975884062,4,1,12.0,0.0,0.0,1,1,624.9331241264201,2016
59,4,9277250.715763165,0,3,13,0,1.215398775016625,4,1,6.0,1.0,19.0,1,1,362.41574625886113,2017
60,0,4502857.4685344435,0,2,39,0,2.1153180105563267,4,1,0.0,1.0,11.0,0,1,-2.195334999295361,2015
61,0,2482690.655157639,0,3,12,6,-3.949745080857097,4,0,0.0,2.0,11.0,0,1,-2.2059529782256484,2017
62,0,9277250.715763165,0,5,18,4,5.239919521102256,4,1,4.0,0.0,10.0,1,2,1955.2989118680337,2016
63,0,9277250.715763165,0,2,34,0,2.8544212975884062,4,1,5.0,2.0,6.0,1,1,591.2300071521713,2015
64,0,9277250.715763165,0,5,13,4,5.239919521102256,4,1,12.0,0.0,0.0,1,2,1996.3161925524612,2016
65,0,510451.1013821627,0,2,3,7,-3.949745080857097,4,1,9.0,2.0,16.0,1,1,2248.360646232741,2016
66,0,9277250.715763165,1,2,35,0,1.215398775016625,5,0,1.0,1.0,10.0,1,1,69.18492273382347,2015
67,2,948374.9289072884,0,5,3,7,-3.949745080857097,4,1,10.0,4.0,3.0,1,1,5252.031397820705,2016
68,0,12013081.630711285,0,2,34,0,2.1153180105563267,4,1,9.0,1.0,3.0,1,1,750.4624014267401,2016
69,0,9277250.715763165,0,5,28,6,-3.949745080857097,4,1,12.0,0.0,0.0,1,2,928.5704662721191,2015
70,4,9277250.715763165,0,2,35,0,2.1153180105563267,4,0,2.0,2.0,20.0,1,1,78.5424348357689,2015
71,4,9745994.598396378,0,2,22,0,1.215398775016625,4,1,1.0,3.0,21.0,1,1,72.12065933381137,2015
72,4,11768081.773854656,0,5,26,0,1.215398775016625,4,1,3.0,0.0,24.0,1,1,1029.377574695503,2016
73,3,9277250.715763165,0,2,11,0,1.215398775016625,4,1,0.0,3.0,9.0,0,1,-2.2037398774256785,2016
74,0,3073835.364502685,0,5,35,6,-3.949745080857097,4,0,12.0,0.0,1.0,1,4,1104.381348547754,2015
75,0,9277250.715763165,0,3,35,6,-3.949745080857097,4,0,11.0,2.0,0.0,1,2,727.1045746366909,2016
76,2,2482690.655157639,0,4,12,0,1.215398775016625,4,1,0.0,0.0,0.0,0,1,-2.2107224564234715,2017
77,0,574399.4868952237,0,2,3,6,-3.949745080857097,4,0,3.0,2.0,34.0,1,1,602.4366643226912,2016
78,0,9277250.715763165,0,5,13,6,-3.949745080857097,4,1,13.0,0.0,0.0,1,1,1267.8550092170299,2016
79,2,11768081.773854656,0,4,30,0,1.215398775016625,4,1,2.0,0.0,0.0,1,1,331.8966264681783,2017
80,0,9277250.715763165,0,1,28,0,1.215398775016625,2,1,1.0,2.0,18.0,1,1,121.588173282973,2015
81,0,11768081.773854656,0,3,7,0,2.8544212975884062,4,1,1.0,3.0,9.0,1,1,368.75842326338807,2016
82,0,9277250.715763165,0,2,11,0,1.215398775016625,4,1,0.0,3.0,11.0,0,1,-2.222203800822987,2016
83,0,5201997.259444528,0,5,28,6,-3.949745080857097,4,1,12.0,0.0,0.0,1,3,1881.6984581781032,2015
84,4,948374.9289072884,0,3,8,4,4.363500465008609,4,1,0.0,0.0,0.0,0,1,-2.2769933688687405,2017
85,2,12013081.630711285,0,3,28,4,4.363500465008609,4,1,0.0,1.0,5.0,0,1,-2.2134652239279955,2017
86,4,2464331.2566070086,0,4,37,4,5.239919521102256,4,1,0.0,0.0,0.0,0,1,-2.2347339809858555,2017
87,0,2464331.2566070086,0,4,37,4,4.363500465008609,4,1,1.0,0.0,0.0,1,1,71.63500839972636,2017
88,0,3073835.364502685,0,5,20,6,-3.949745080857097,4,1,3.0,0.0,11.0,1,1,1314.7203293644043,2016
89,2,11768081.773854656,0,3,30,6,-3.949745080857097,4,1,2.0,0.0,0.0,1,1,612.860177172678,2016
90,0,2482690.655157639,0,5,12,7,-3.949745080857097,4,1,8.0,2.0,10.0,1,1,414.48735678844724,2015
91,0,4502857.4685344435,0,2,39,4,4.363500465008609,4,1,1.0,2.0,9.0,1,1,85.31317279199847,2016
92,0,9277250.715763165,0,2,35,0,1.215398775016625,4,0,0.0,2.0,10.0,0,1,-2.172661822672293,2015
93,0,9277250.715763165,0,3,34,0,2.1153180105563267,4,1,2.0,2.0,10.0,1,1,157.61464538376248,2017
94,0,4502857.4685344435,0,3,39,6,-3.949745080857097,4,0,3.0,1.0,11.0,1,2,257.82944172271823,2016
95,0,12013081.630711285,0,5,28,0,1.215398775016625,4,1,2.0,0.0,12.0,1,1,360.8178568829864,2016
96,0,11768081.773854656,0,3,23,4,2.1153180105563267,4,1,0.0,2.0,11.0,0,1,-2.215423793943274,2016
97,0,13603339.378653467,0,2,13,6,-3.949745080857097,4,1,3.0,2.0,17.0,1,1,254.98531143535507,2015
98,0,2482690.655157639,0,2,12,0,1.215398775016625,2,1,0.0,2.0,12.0,0,1,-2.1932582738379423,2016
99,0,9277250.715763165,0,8,3,0,1.215398775016625,4,1,6.0,1.0,6.0,1,1,543.6084942600888,2016
100,2,10819400.907835873,0,7,28,4,5.239919521102256,4,1,0.0,0.0,0.0,0,1,-2.2321258858468487,2017
101,0,5201997.259444528,0,5,28,4,6.534465208576885,4,1,12.0,0.0,0.0,1,2,2356.1501405204845,2015
102,0,9277250.715763165,0,2,3,0,2.1153180105563267,4,1,7.0,3.0,5.0,1,1,885.274273147516,2016
103,0,2482690.655157639,0,5,12,0,2.1153180105563267,4,1,11.0,1.0,0.0,1,1,586.5682628119886,2016
104,0,2482690.655157639,0,2,12,0,1.215398775016625,4,1,5.0,5.0,11.0,1,1,404.0845071622882,2016
105,4,9277250.715763165,0,2,28,4,4.363500465008609,4,1,9.0,2.0,13.0,1,1,803.3942647605468,2016
106,0,3073835.364502685,0,2,35,0,1.215398775016625,4,0,2.0,1.0,10.0,1,1,400.3975266581687,2015
107,0,6012887.435416876,0,2,28,6,-3.949745080857097,4,1,8.0,4.0,3.0,1,2,1123.9679804789341,2016
108,0,3073835.364502685,0,5,20,6,-3.949745080857097,2,1,3.0,0.0,11.0,1,3,630.7811563281992,2016
109,0,5201997.259444528,0,2,28,4,8.4552465510317,4,1,3.0,2.0,7.0,1,1,364.0487765686587,2015
110,1,9277250.715763165,0,5,28,4,6.534465208576885,4,1,12.0,1.0,0.0,1,1,1202.5276131104174,2016
111,0,9277250.715763165,0,5,13,6,-3.949745080857097,4,1,3.0,0.0,11.0,1,1,479.2284133370623,2016
112,0,510451.1013821627,0,5,3,7,-3.949745080857097,4,1,9.0,0.0,23.0,1,1,3877.363148196976,2016
113,0,9277250.715763165,0,2,18,4,6.0580380488509045,4,1,5.0,3.0,6.0,1,1,872.911284042484,2016
114,2,5201997.259444528,0,5,28,6,-3.949745080857097,4,0,6.0,0.0,0.0,1,1,1045.9843699616954,2015
115,0,510451.1013821627,0,5,3,7,-3.949745080857097,4,1,12.0,1.0,14.0,1,1,5295.93053195709,2016
116,0,1738517.0662475186,0,5,12,6,-3.949745080857097,4,0,11.0,0.0,3.0,1,2,966.3671366786181,2016
117,0,9277250.715763165,0,2,7,0,1.215398775016625,4,1,0.0,1.0,12.0,0,1,-2.2021615359384916,2016
118,4,9277250.715763165,0,2,13,0,1.215398775016625,4,1,4.0,2.0,18.0,1,1,172.8947306037481,2016
119,0,11768081.773854656,0,5,26,4,4.363500465008609,4,1,1.0,0.0,13.0,1,1,693.3442107675818,2017
120,1,13550102.569088677,0,5,35,4,2.1153180105563267,4,1,2.0,0.0,12.0,1,2,383.78725398755404,2016
121,2,13550102.569088677,0,2,35,7,-3.949745080857097,4,1,0.0,1.0,5.0,0,1,-2.222858497682944,2016
122,0,5651967.550456223,0,5,20,0,1.215398775016625,4,1,8.0,0.0,5.0,1,1,2016.8898704400897,2015
123,4,4502857.4685344435,0,2,39,0,2.1153180105563267,4,1,3.0,2.0,19.0,1,1,95.62343204429824,2015
124,0,6794422.212977779,0,5,22,6,-3.949745080857097,1,1,11.0,0.0,3.0,1,2,1850.3374834188603,2016
125,0,391698.93413437955,0,5,4,0,1.215398775016625,4,1,3.0,0.0,11.0,1,1,545.2531767196531,2017
126,4,13550102.569088677,0,4,35,4,5.239919521102256,4,1,2.0,0.0,0.0,1,1,106.58033786470624,2017
127,0,3073835.364502685,0,5,35,0,2.8544212975884062,4,0,11.0,1.0,0.0,1,1,588.6014284067164,2015
128,4,9277250.715763165,0,2,28,0,2.1153180105563267,4,0,0.0,2.0,22.0,0,1,-2.197831375307093,2015
129,0,4502857.4685344435,0,5,27,0,1.215398775016625,4,1,2.0,0.0,12.0,1,1,386.63524576300836,2016
130,0,2464331.2566070086,0,4,37,0,1.215398775016625,4,1,0.0,0.0,0.0,0,1,-2.188625460110186,2017
131,3,10819400.907835873,0,3,28,4,4.363500465008609,4,1,1.0,1.0,10.0,1,1,117.58945038487134,2017
132,2,9277250.715763165,0,5,18,0,1.215398775016625,4,1,6.0,0.0,0.0,1,1,882.6029494228163,2016
133,4,11768081.773854656,0,2,24,4,4.363500465008609,4,1,0.0,2.0,24.0,0,1,-2.2176556937604732,2016
134,4,9277250.715763165,0,8,18,0,1.215398775016625,4,1,15.0,1.0,10.0,1,1,631.9119647164879,2016
135,3,9277250.715763165,0,2,20,0,2.1153180105563267,4,1,7.0,6.0,7.0,1,1,524.062120694805,2016
136,0,3073835.364502685,0,5,35,0,2.1153180105563267,4,0,12.0,0.0,0.0,1,1,635.2521092501241,2015
137,0,9277250.715763165,0,5,33,4,4.363500465008609,4,1,13.0,2.0,0.0,1,1,2769.3046407573634,2016
138,1,9277250.715763165,0,5,13,4,5.239919521102256,4,1,13.0,0.0,0.0,1,1,2966.152309044044,2016
139,0,11768081.773854656,0,3,30,0,1.215398775016625,4,1,1.0,3.0,11.0,0,1,42.40693052900172,2016
140,0,391698.93413437955,0,4,4,0,1.215398775016625,4,1,2.0,0.0,0.0,1,1,119.06954502770904,2017
141,0,4502857.4685344435,0,5,39,0,2.1153180105563267,4,1,9.0,0.0,5.0,1,2,560.8871056747556,2016
142,0,9277250.715763165,0,9,28,4,6.0580380488509045,4,0,2.0,1.0,12.0,1,2,317.7975559971309,2015
143,2,11768081.773854656,0,4,30,4,4.363500465008609,4,1,0.0,0.0,0.0,0,1,-2.2547563935545347,2017
144,0,9277250.715763165,0,2,28,4,6.0580380488509045,4,1,7.0,2.0,10.0,1,1,1066.1494080261746,2015
145,2,1738517.0662475186,0,5,12,6,-3.949745080857097,4,0,6.0,0.0,0.0,1,2,698.3663764384817,2016
146,0,6496440.7745900145,0,2,34,6,-3.949745080857097,1,1,5.0,3.0,6.0,1,2,552.4993535499694,2016
147,4,1609113.1542920899,0,5,12,6,-3.949745080857097,4,1,26.0,0.0,0.0,1,2,984.6674241725573,2016
148,0,11768081.773854656,0,2,7,4,4.363500465008609,4,1,1.0,1.0,11.0,1,1,98.21389877226706,2016
149,0,3073835.364502685,0,2,35,6,2.1153180105563267,1,0,0.0,2.0,10.0,0,1,-2.178571593283532,2015
150,0,11768081.773854656,0,3,30,4,2.1153180105563267,4,1,5.0,1.0,0.0,1,1,606.8754670344927,2016
151,3,643135.195213237,0,3,8,4,4.363500465008609,4,1,1.0,2.0,27.0,1,1,311.02795220787846,2017
152,0,2482690.655157639,0,2,12,4,4.363500465008609,4,1,1.0,1.0,12.0,1,1,85.47025057325637,2016
153,1,9277250.715763165,0,5,18,4,5.239919521102256,4,1,12.0,0.0,0.0,1,1,3034.3716941700254,2015
154,0,2464331.2566070086,0,4,37,4,4.363500465008609,4,1,0.0,0.0,0.0,0,1,-2.2021257419640774,2017
155,4,9277250.715763165,0,2,28,6,-3.949745080857097,4,1,11.0,3.0,14.0,1,2,682.2179111248143,2016
156,0,1609113.1542920899,0,2,12,6,-3.949745080857097,4,1,13.0,3.0,3.0,1,3,950.8684713812526,2016
157,4,9745994.598396378,0,5,22,4,4.363500465008609,4,1,24.0,0.0,0.0,1,1,1832.6894880703371,2015
158,4,9277250.715763165,0,2,34,0,1.215398775016625,5,1,5.0,2.0,21.0,1,1,200.64391067265709,2016
159,0,9745994.598396378,0,2,22,0,2.8544212975884062,4,1,10.0,1.0,1.0,1,1,1485.8305634315138,2015
160,0,1889714.3030924103,0,2,35,7,-3.949745080857097,2,1,0.0,3.0,11.0,0,1,-2.2469926726219565,2016
161,3,2464331.2566070086,0,4,37,4,4.363500465008609,1,1,0.0,0.0,0.0,0,1,-2.212866982970938,2017
162,4,9745994.598396378,0,5,32,0,2.1153180105563267,4,1,1.0,0.0,24.0,1,1,810.9591329388197,2016
163,0,3073835.364502685,0,2,35,4,8.4552465510317,1,1,3.0,2.0,7.0,1,1,462.64896669361485,2015
164,0,9277250.715763165,0,5,30,6,-3.949745080857097,4,0,0.0,0.0,0.0,0,1,-2.195425363309052,2017
165,0,9277250.715763165,0,4,13,0,1.215398775016625,4,1,4.0,0.0,0.0,1,1,287.03977997048446,2017
166,0,2464331.2566070086,0,7,37,0,1.215398775016625,4,1,0.0,0.0,0.0,0,1,-2.214169132260066,2017
167,4,13550102.569088677,0,5,35,6,-3.949745080857097,4,1,5.0,0.0,22.0,1,1,656.8494588461475,2016
168,0,2482690.655157639,0,5,12,4,4.363500465008609,4,1,13.0,0.0,0.0,1,1,1043.1145071622884,2016
169,0,9068941.883667855,0,2,28,4,4.363500465008609,4,1,2.0,2.0,10.0,1,1,170.2708995583235,2016
170,4,9277250.715763165,0,3,18,0,1.215398775016625,2,1,10.0,2.0,14.0,1,1,962.3579951563346,2016
171,0,2482690.655157639,0,2,12,6,-3.949745080857097,4,1,4.0,3.0,7.0,1,1,334.15228577377735,2016
172,4,6012887.435416876,0,2,28,6,-3.949745080857097,4,1,9.0,3.0,14.0,1,2,533.9810193702843,2016
173,4,1609113.1542920899,0,5,12,6,-3.949745080857097,1,1,26.0,2.0,0.0,1,2,1873.1386352772577,2016
174,4,4502857.4685344435,0,2,39,6,-3.949745080857097,4,1,3.0,2.0,21.0,1,1,249.16889360121823,2016
175,4,510451.1013821627,0,3,3,7,-3.949745080857097,4,1,3.0,1.0,48.0,1,1,420.51001754844384,2016
176,0,4502857.4685344435,0,5,39,4,5.239919521102256,4,1,11.0,0.0,2.0,1,1,1587.2845841691321,2015
177,1,9277250.715763165,0,2,18,0,1.215398775016625,4,1,1.0,3.0,9.0,0,1,107.70632173528735,2015
178,0,10819400.907835873,0,2,28,0,1.215398775016625,4,1,2.0,7.0,16.0,1,1,152.01576670948273,2016
179,0,13550102.569088677,0,2,35,0,1.215398775016625,4,1,2.0,3.0,9.0,1,1,170.5524406661174,2016
180,0,2482690.655157639,0,5,12,0,2.8544212975884062,4,1,13.0,1.0,0.0,1,1,642.3014293635296,2016
181,1,9745994.598396378,0,2,22,0,2.1153180105563267,4,1,11.0,1.0,1.0,1,1,1969.290569977482,2016
182,4,9277250.715763165,0,2,34,0,2.8544212975884062,4,1,2.0,2.0,20.0,1,1,98.88830368442396,2015
183,4,11768081.773854656,0,2,16,0,1.215398775016625,4,1,0.0,1.0,25.0,0,1,-2.227597363866279,2016
184,4,9277250.715763165,0,2,27,0,2.1153180105563267,4,1,15.0,2.0,9.0,1,1,936.6148571025161,2016
185,0,7324846.8931359695,0,5,22,6,-3.949745080857097,4,1,13.0,2.0,1.0,1,2,2104.323366495134,2016
186,2,9745994.598396378,0,5,22,0,1.215398775016625,4,1,6.0,0.0,0.0,1,1,2476.158408622697,2016
187,0,13550102.569088677,0,4,35,4,4.363500465008609,4,1,0.0,0.0,0.0,0,1,-2.226273109026052,2017
188,4,2482690.655157639,0,2,12,0,2.1153180105563267,4,1,11.0,3.0,14.0,1,1,330.0302245560355,2016
189,2,9277250.715763165,1,3,7,8,-3.949745080857097,4,0,1.0,1.0,4.0,1,1,184.9709703764741,2016
190,2,7692412.79472348,0,2,28,0,1.215398775016625,4,0,1.0,2.0,3.0,1,1,132.19825897021963,2015
191,0,11768081.773854656,0,3,29,4,4.363500465008609,4,1,1.0,2.0,10.0,1,1,245.09990617464072,2017
192,0,2482690.655157639,0,5,12,4,6.0580380488509045,4,1,9.0,0.0,3.0,1,2,974.0475373516241,2015
193,0,5651967.550456223,0,5,22,8,-3.949745080857097,4,0,6.0,0.0,8.0,1,1,611.7166663318936,2016
194,0,1394283.8486751544,0,2,35,6,-3.949745080857097,1,0,0.0,3.0,10.0,0,2,-2.18830944447153,2015
195,4,9277250.715763165,0,2,13,4,5.239919521102256,4,1,0.0,1.0,25.0,0,1,-2.231816961215535,2016
196,0,1874238.880294761,0,5,12,6,-3.949745080857097,4,1,13.0,0.0,0.0,1,2,597.9358962718647,2016
197,3,2482690.655157639,0,5,12,0,2.1153180105563267,4,1,2.0,0.0,11.0,1,1,583.5464013561706,2016
198,2,1874238.880294761,0,2,12,6,-3.949745080857097,4,1,2.0,3.0,14.0,1,1,206.3868147806177,2016
199,4,11768081.773854656,0,4,30,4,4.363500465008609,4,1,0.0,0.0,0.0,0,1,-2.212697791740832,2017
200,0,2464331.2566070086,0,4,37,6,-3.949745080857097,4,1,0.0,0.0,0.0,0,2,-2.254270850568603,2017
201,4,1609113.1542920899,0,5,12,6,-3.949745080857097,4,1,24.0,0.0,3.0,1,2,992.4066132466446,2016
202,0,7324846.8931359695,0,2,22,6,-3.949745080857097,4,1,3.0,2.0,8.0,1,2,376.37399784535006,2016
203,4,6012887.435416876,0,2,28,6,-3.949745080857097,4,1,12.0,2.0,12.0,1,1,1297.8643399274713,2016
204,0,6496440.7745900145,0,4,18,6,-3.949745080857097,4,0,2.0,0.0,0.0,1,3,158.42588655581844,2017
205,0,9277250.715763165,0,5,13,4,2.8544212975884062,4,1,3.0,0.0,11.0,1,1,1124.2512840424838,2017
206,0,2482690.655157639,0,5,12,0,2.8544212975884062,4,1,12.0,0.0,0.0,1,2,838.2759576652319,2015
207,0,2482690.655157639,0,5,12,4,4.363500465008609,4,1,5.0,0.0,9.0,1,1,1275.8800195363103,2016
208,0,13550102.569088677,0,7,35,4,5.239919521102256,4,1,0.0,0.0,0.0,0,1,-2.2518662661230837,2017
209,4,9277250.715763165,0,2,13,4,6.534465208576885,4,1,2.0,2.0,20.0,1,1,208.59414934921367,2015
210,4,2482690.655157639,0,5,12,4,2.1153180105563267,4,1,21.0,5.0,1.0,1,1,1214.1961074669046,2015
211,0,2482690.655157639,0,5,12,0,1.215398775016625,4,1,8.0,0.0,5.0,1,2,1413.2451818070015,2015
212,0,4476471.770532292,0,5,39,0,2.8544212975884062,4,1,10.0,1.0,4.0,1,1,602.372611759102,2016
213,4,9277250.715763165,0,5,35,0,1.215398775016625,4,0,24.0,1.0,0.0,1,3,904.301864930012,2015
214,0,11768081.773854656,0,4,5,4,4.363500465008609,4,1,5.0,0.0,0.0,1,1,1327.3477047221465,2016
215,0,6794422.212977779,0,5,40,6,-3.949745080857097,4,0,10.0,1.0,0.0,1,1,2283.8523798332158,2016
216,0,5651967.550456223,0,4,13,8,-3.949745080857097,1,0,6.0,0.0,0.0,1,1,764.4533339101495,2016
217,4,5309937.394571314,0,2,28,6,-3.949745080857097,4,0,3.0,1.0,20.0,1,1,143.27704259954362,2015
218,0,11768081.773854656,0,3,14,4,4.363500465008609,4,1,2.0,1.0,10.0,1,1,173.53014157262874,2017
219,4,4502857.4685344435,0,5,39,0,2.1153180105563267,4,1,5.0,0.0,20.0,1,2,562.8479565082937,2015
220,4,4476471.770532292,0,5,39,0,2.1153180105563267,4,1,8.0,1.0,19.0,1,1,537.838925330308,2016
221,0,4315765.376407557,0,2,28,4,6.0580380488509045,4,1,5.0,2.0,5.0,1,1,874.5913816326581,2015
222,0,2464331.2566070086,0,3,37,4,4.363500465008609,4,1,1.0,2.0,10.0,1,1,183.91667364808984,2017
223,3,7003602.724033782,0,8,34,6,-3.949745080857097,4,1,1.0,1.0,10.0,1,1,101.76581384341803,2016
224,3,13550102.569088677,0,3,35,4,5.239919521102256,3,1,0.0,0.0,0.0,0,1,-2.2205317832688993,2017
225,4,9277250.715763165,1,2,20,0,2.1153180105563267,1,1,2.0,2.0,22.0,1,1,102.54089222586889,2016
226,2,13550102.569088677,0,3,35,4,4.363500465008609,4,1,0.0,2.0,4.0,0,1,-2.1965870313349662,2016
227,3,11768081.773854656,0,4,25,4,2.8544212975884062,4,1,4.0,0.0,0.0,1,1,1468.8811512364123,2017
228,4,3073835.364502685,0,5,20,0,1.215398775016625,4,0,24.0,0.0,0.0,1,2,645.8098927764876,2015
